localID;extractionDate;globalRating;positionOnRanking;sitesOnRanking;totalReviews;userName;userLocation;userContributions;tripType;reviewWritten;reviewVisited;reviewRating;reviewLanguage;reviewFullText
MAG047;2021-08-21 13:13:49.390;5.0;1;71;13342;Kev C@703kevc;Merthyr Tydfil, UK;69;Family;2019-02-17;2018-03-01;5;en;This is a fantastic place I've been 3 times and never get tired of it, I've taken grown up children and friends it's a real fantasy world of tunnels and labarinths, go though the caves and climb sprial towers from underground. Take a torch some of the caves are quite dark. This is a fantastic place of fantasy for all ages, be prepared for walking, best place to visit in Sintra 🙂
MAG047;2021-08-21 13:13:49.564;5.0;1;71;13342;lkharabouga@lkharabouga;Russian Gulf of Finland Coast, Russia;1;;2019-02-13;2018-03-01;5;en;We recommend to visit it in the morning, when there is less of tourists. It's a fantastic place where you'll loose yourself for hours...
MAG047;2021-08-21 13:13:55.464;5.0;1;71;13342;JQLN@JQLN;Washington DC, DC;12;Friends;2019-02-02;2018-03-01;5;en;The gardens are gorgeous and so unique. Give yourself plenty of time to explore. The well is amazing and the tunnels and grotto are marvels. This is an easy walk from town, dont bother waiting for the bus.
MAG032;2021-08-21 10:32:48.658;4.5;2;71;18392;WC-Travelers-75@WC-Travelers-75;West Chester, PA;2183;Couples;2019-02-21;2018-03-01;5;en;UNESCO World Heritage Site not to be missed. We took the train from Rossio station and grabbed the hop-on hop-off bus 12.50 euros/each (which is a misnomer - you are paying for one circuit - we went past the Moorish Castle to start at Pena Palace and could only see the Sintra National Palace - we could not loop back to the Moorish Castle)Even more fantastic on a misty foggy day since you are above the landscape. You will need two to three hours just for the castle not including the grounds.  Nothing more needs to be said if you have seen guidebooks or travel brochures.
MAG014;2021-08-20 14:31:25.134;4.5;3;726;30707;WC-Travelers-75@WC-Travelers-75;West Chester, PA;2183;Couples;2019-02-20;2018-03-01;4;en;We went specifically to Belem to see the world heritage site, which includes the Tower of Belem. Worth it to see the architecture and its ties to the Age of Discoveries. We used our guidebook and hung back from guided tours to hear the discussions. You may want to book a guide.Prepare to wait in a line.Must see if in Lisbon there for more than 1 day.However, if time is limited in Lisbon area, l would  pick Sintra over this site since multiple sites in small area.
MAG010;2021-08-20 13:23:54.354;4.0;6;726;36979;WC-Travelers-75@WC-Travelers-75;West Chester, PA;2183;Couples;2019-02-20;2018-03-01;3;en;Definitely on our Belem itinerary. Disappointed since no visitors allowed the day we were there..would have given higher rating.A stroll away from the Mosteiro dos Jeronimos...the main reason for us to be in Belem
MAG093;2021-08-21 16:15:57.871;4.5;1;101;6805;Seeking True Quality@Seeking_True_Quality;Europe;2972;Couples;2019-03-23;2018-04-01;5;en;We were amazed by the beauty and complex symmetry of this marvel of architecture from the XVIII. century and located on a hillside east of Braga.We were lucky: our friendly bus driver, Goncalo, an epitome of Portuguese hospitality, brought our bus at the top of the monument, so we only had to descend.On our way downhill, the view was constantly changing - it was beautiful and we really enjoyed it. The landings between the zigzagging stairways have fountains and statues with a symbolical meaning attached to them.  Some of the landings are decorated with Portuguese pavement (calçada portuguesa).Unfortunately, some of the chapels representing the Stations of the Cross are in a decaying state and should be restored.
MAG047;2021-08-21 13:13:37.225;5.0;1;71;13342;Peter W@BiffKool;Nanaimo, Canada;24;Family;2019-03-05;2018-04-01;4;en;Sintra itself is a must see, even if for a day trip from Lisbon which is what we did. We took the train from Lisbon and spent the day in Sintra much of which was on the grounds of Quinta da Regaleira. There was so much to see from the gardens, hidden paths and walkways to the beautiful architecture and detailed stone work. If you only pick one place to see in Sintra this should be the one.
MAG032;2021-08-21 10:32:49.120;4.5;2;71;18392;Effi@ShockWave2000;United States;136;Family;2019-02-18;2018-04-01;5;en;for anyone who comes to Sintra or Lisbon, don’t miss that place. A beautiful park, an amazing palace and spectacular views. Consider a steep hike to the palace but there are impressive gardens on the way.
MAG032;2021-08-21 10:32:55.281;4.5;2;71;18392;glamman1@glamman1;kiel;5;Couples;2019-02-13;2018-04-01;4;en;We ended up walking a few miles from our hotel to this location to avoid tour busses and driving up the hill. It was very pretty, but the lines were long to get in. I’d suggest wearing good walking shoes and going early! 
MAG021;2021-08-20 15:50:45.250;4.5;1;355;24454;Seeking True Quality@Seeking_True_Quality;Europe;2972;Couples;2019-03-24;2018-04-01;5;en;As Porto lies high above the Douro river and the hillsides facing it are steep, building a bridge there is challenging. The Ponte de Dom Luis I, built in 1886, is unique because its graceful metal arch carries two decks. By the time it was finished, its span was the longest arch bridge in the world.We visited the upper deck and it was a great pleasure to be there. The view of the Douro river, the other bridges in the distance are unforgettable. Every few minutes a train of the Porto Metro crosses the bridge, but there is nothing to worry, everything is safe.Our feelings were, however, mixed while we were looking at the houses on both sides of the river. Many of them were in a very bad condition: broken windows or even without window frames or roofs - decay and negligence...There is the Funicular dos Gundais near the bridge on the northern side of the river for those who want to visit Ribeira. On the southern side one can take the Teleferico de Gaia.
MAG021;2021-08-20 15:51:36.125;4.5;1;355;24454;elainelefebvre@elainelefebvre;;4;Couples;2019-01-15;2018-04-01;5;en;In Porto you do several things ! Crossing the Dom Luis I bridge, on foot, is a must. Keep an eye on the oncoming trains and get out of the way. Apart from that, enjoy a unique view of both Porto and Vila Nova de Gaia : breathtaking. The colours, the River Douro below..... On the Vila Nova de Gaia side, be sure to visit the “Porto” wineries and listen and learn. Very interesting. On the other side....the city of Porto.... beautiful. Have fun !!Life is wonderful.
MAG021;2021-08-20 15:51:42.464;4.5;1;355;24454;João F@John_Figueiredo;Matosinhos, Portugal;68;Friends;2019-01-07;2018-04-01;5;en;Very beautiful Bridge that you should cross to Gaia City. All the best Port Wine cellars are on the other side of the River. So it is a must. Don't forget and visit Serra do Pillar for the best view over Porto.
MAG014;2021-08-20 14:30:37.414;4.5;3;726;30707;Karen W@H4163XLkarenw;Boston, MA;11;Couples;2019-03-19;2018-04-01;5;en;This is a gorgeous monastery with beautiful cloisters in the Manueline architecture style located in Belem. We had to wait in line for one hour for our tickets, but it was well worth the wait. One of our favorite places in Lisbon.
MAG014;2021-08-20 14:31:06.669;4.5;3;726;30707;Peter W@BiffKool;Nanaimo, Canada;24;Family;2019-03-03;2018-04-01;5;en;We had budgeted one day for Belem while in Lisbon. What we didn't realize was that they take a select number of tours through the monastery until a certain time (I think 4pm). Sadly we were unable to do that and wished we had. While the Torre de Belem and Belem seafaring monument are also worth the visit we wished we could have spent more time exploring the monastery. It is a wonderful place to see even if you don't make a tour.
MAG093;2021-08-21 16:16:03.365;4.5;1;101;6805;Brian D@briand790;Denver, CO;1683;Solo;2019-03-05;2018-05-01;5;en;This is a must visit location because of the great scenery and views from all around the property. The stairs are huge and go from all the way at the bottom of the hill up to the church at the top of the hill.  Great views are had from each step and they are wide enough to share with lots of other visitors. The sculptures found along the path are great and tell a story when viewed in consecutive sequence. The cathedral itself is worth the visit as well, with great architecture both inside and outside. An extremely unique place to visit.
MAG047;2021-08-21 13:13:08.129;5.0;1;71;13342;Tiago T@tiagot562;;3;Family;2019-04-13;2018-05-01;5;en;A must visit if you happen to be in this part of the world. The scenery is amazing and the little pieces of architecture are quite unique
MAG032;2021-08-21 10:33:06.884;4.5;2;71;18392;Marty H@MartyH76;Liberty, MO;26;;2019-01-29;2018-05-01;5;en;"This is a beautiful ""must see"" Palace. Beautiful gardens and forest surround Palace. Next to ancient Moorish fortress as well as the Beautiful City of Sintra- You will never forget this visit.   "
MAG021;2021-08-20 15:50:39.250;4.5;1;355;24454;Jayneotjungle@Jayneotjungle;Sotogrande, Spain;128;Friends;2019-04-02;2018-05-01;4;en;A Porto Icon but watch out for the Trains which also use the bridge.  Crossing this way is a good way to see the church and staying within the upper levels of the city.  You can also catch the cable car or funicular up to this level
MAG021;2021-08-20 15:51:36.490;4.5;1;355;24454;Ken@Kenneth_Chow;Cardiff, UK;95;Solo;2019-01-14;2018-05-01;5;en;This place gives you perfect view of Gaia, the Duoro and Porto all in one go, and the bonus is that it is free.  It has two levels - the bottom level is pointless if you want a panorama, but the top level allows you to walk between Porto and Gaia all the whilst enjoying a fantastic view.
MAG021;2021-08-20 15:51:42.147;4.5;1;355;24454;Jacken 03@jacken03;;21;;2019-01-11;2018-05-01;4;en;One of the big tourist spots in Porto, absolutely worth a visit. The port wine cellars was also worth a visit
MAG014;2021-08-20 14:29:21.361;4.5;3;726;30707;KrisD_pl@KrisD_pl;Warsaw, Poland;6956;Friends;2019-04-24;2018-05-01;4;en;As a photographer, I admired the marvelous ornamentations of the cloister and the facade of the building. A former monastery of the Order of Saint Jerome built in 16th century, now a UNESCO World Heritage site. Probably the most prominent example of Manueline style (same as Torre de Belem). Entrance costs EUR 10 - seems bit too high for me, but I enjoyed.
MAG014;2021-08-20 14:29:45.664;4.5;3;726;30707;Rehan H@843rehanh;Cape Town, South Africa;2;;2019-04-13;2018-05-01;5;en;Breathtaking. Attended Easter Sunday service and it was very special. Some other churches in Portugal have more detail but the sheer size of this monastery and its arches are worth the visit. 
MAG014;2021-08-20 14:29:51.241;4.5;3;726;30707;Pierluigi P@Pier_2020;Province of Turin, Italy;129;Family;2019-04-11;2018-05-01;5;en;Beautiful monument just in front of the river! An amazing example of Portuguese art! More spectacular inside than outside.
MAG010;2021-08-20 13:21:14.306;4.0;6;726;36979;KrisD_pl@KrisD_pl;Warsaw, Poland;6956;Friends;2019-04-24;2018-05-01;4;en;No matter what, your visit to Lisbon must include Torre de Belem. It's simple as that. Nice architecture, location just at the river front. Built in the 16th century, nice example of the Portuguese Manueline style. Now a UNESCO World Heritage Site.
MAG010;2021-08-20 13:21:14.556;4.0;6;726;36979;Doug D@603dougd;Mumbai, India;43;Couples;2019-04-22;2018-05-01;4;en;One of he most photographed buildings in Lisbon - you really have to go and see it yourself.However if you go at peak times the queues are long so pre purchasing tickets if you would like to climb the stairs is a good idea.If the building isn't enough by itself for you,the river front walk and the street stalls offering food and wine are worth the trip.
MAG010;2021-08-20 13:24:02.401;4.0;6;726;36979;Elisabeth Ippel@Urneum;Lisbon, Portugal;199;Solo;2019-02-11;2018-05-01;4;en;The belem tour is a great sight, close to the water, out of the bustling city. It has a nice little park where you can eat a yammee frozen yoghurt and stroll in the sun. Great picture opportunities. 
MAG047;2021-08-21 13:12:45.224;5.0;1;71;13342;Luis G@F1829PXluisg;Sintra, Portugal;2;Family;2019-05-07;2018-06-01;5;en;Another magical place to visit in Sintra.Takes you to a magical past and mystery, with tunnels and stunning lakes and palace.
MAG032;2021-08-21 10:31:09.660;4.5;2;71;18392;Cleopatra C@CleoChrist;;152;;2019-05-03;2018-06-01;5;en;The place is gorgeous! Excellent for walking,beautiful nature, great buildings, very well cared. Great view from the top of the palace.
MAG032;2021-08-21 10:31:28.006;4.5;2;71;18392;kimlovesjaws@kimlovesjaws;Essex, UK;1055;Family;2019-04-23;2018-06-01;5;en;One of the reasons we wanted to visit Sintra was to see Pena Palace which always looked an amazing place to see in person, it didn't disappoint. Good bus connections take you as far as it can with a small uphill climb to the castle. The vibrant colours and architecture were breathtaking, as was the view. The castle was great to go exploring in with lots of the contents well preserved. Have a wander round the grounds to such a lovely space whilst still continuing to explore. 
MAG021;2021-08-20 15:49:29.671;4.5;1;355;24454;Julie S@T3288YCjulies;San Francisco, CA;15;Friends;2019-05-27;2018-06-01;5;en;If you are in Porto, the bridge is a must see.  You will likely see it from visiting the wine caves or the restaurants along the river.  If you take a walk along it, you will get a beautiful view of the city.
MAG021;2021-08-20 15:50:25.353;4.5;1;355;24454;torontoniana_12@torontoniana_12;Toronto, Canada;77;;2019-04-15;2018-06-01;4;en;A beautiful, functional bridge, offering many angles for photos, and neighbourhoods to explore on both sides, the main city of Porto, and the often under-rated Gaia on the other side.
MAG021;2021-08-20 15:50:45.359;4.5;1;355;24454;Ανδρόνικος Γκιουμές@T1025ZU_;Athens, Greece;14;;2019-03-24;2018-06-01;5;en;A very nice place where young local boys jump from the bridge in order to gather some money! fell free to take multiple pictures or videos as the view is unforgettable!  
MAG021;2021-08-20 15:50:45.406;4.5;1;355;24454;Ανδρόνικος Γκιουμές@T1025ZU_;Athens, Greece;14;;2019-03-24;2018-06-01;5;en;Its a very nice place to take wonderful pictures from the bridge, watch some local childer jump from the bridge and do not forget to stay on the bridge during the sunset as the view is breathtaking! Your camera should always be in your hands and be sure that you will make some of the best memories of your life!
MAG021;2021-08-20 15:51:30.460;4.5;1;355;24454;rachelaudrey26@rachelaudrey26;Edinburgh, UK;145;Couples;2019-01-27;2018-06-01;5;en;The bridge sits on the edge of Porto and is a fantastic way to view the city. It’s not too scary if you’re worried about heights - there are two levels, one at ground level that cars drive over and one at the top which has the tram tracks on it ( I would not recommend the top level if you’re scared of heights as you can see through the gaps in between the tram tracks)!
MAG014;2021-08-20 14:28:17.960;4.5;3;726;30707;stepsinthesand@stepsinthesand;Newark, CA;301;Couples;2019-05-29;2018-06-01;4;en;If visiting Lisbon, the monastery is a must-visit just to be in awe of its architectural beauty. Once inside, there's not much to see except a huge courtyard and whatever special exhibition is featured at the time. Tips: Long lines for both buying tickets and then the entry line, so go early. Or try purchasing tickets for the monastery from the Archeological Museum (across the street) ticket line--though can be long but not nearly as long. And supposedly it's free the first Sunday of every month.
MAG014;2021-08-20 14:28:40.226;4.5;3;726;30707;annonymus800@annonymus800;London, UK;1064;Solo;2019-05-20;2018-06-01;5;en;The Jerónimos Monastery or Hieronymites Monastery (Mosteiro dos Jerónimos), is a former monastery of the Order of Saint Jerome. It was secularised on 28 December 1833 by state decree and its ownership transferred to the charitable institution, Real Casa Pia de Lisboa.The monastery is one of the most prominent examples of the Portuguese Late Gothic Manueline style of architecture in Lisbon. It was classified a UNESCO World Heritage Site, along with the nearby Tower of Belém, in 1983.
MAG014;2021-08-20 14:28:45.710;4.5;3;726;30707;Happiness764529@Happiness764529;;34;Friends;2019-05-16;2018-06-01;5;en;Make sure you are properly informed about the history and meaning of the monastery before visiting.Do not just get your information from a guide.Do Take your time there.
MAG014;2021-08-20 14:28:53.648;4.5;3;726;30707;Salvador H@salvadorh449;San Juan, Puerto Rico;404;Friends;2019-05-08;2018-06-01;4;en;Full of history this monastery with the church right beside is a mandatory stop if you are visiting Lisbon. Try to have a guide with you to really have the opportunity to know the history.
MAG014;2021-08-20 14:29:05.007;4.5;3;726;30707;ikcw@ikcw;Davenport, FL;47;Couples;2019-05-01;2018-06-01;4;en;Interesting, historical site.  Unfortunately, we got caught in the crowds off a cruise ship.  The lines were long and we could barely inch along.  Would probably skip this and spend our time visiting some of the other, less crowded, historical sites in this beautiful city.
MAG014;2021-08-20 14:31:06.621;4.5;3;726;30707;Elle021p@Elle021p;Milan, Italy;91;Solo;2019-03-03;2018-06-01;5;en;Beautiful place full of history and art. As there's always a long queue, it's better to come as soon as it opens. 
MAG010;2021-08-20 13:20:07.742;4.0;6;726;36979;Pedro N@PedroN1074;Lisbon, Portugal;50;Couples;2019-05-25;2018-06-01;5;en;XV century military tower and baluart classified as an UNESCO World Cultural Heritage monument. One of the most important Lisbon and portuguese military architecture site, related to late Gothic period. It was builded in a river island, almost 600 years ago to defend the kingdom capital of the pirates and maritime invasions. It survived to the 1755 earthquake, remaining as one of the fewest medieval testemonies of Lisbon. It's an unforgettable place and a must to see!
MAG010;2021-08-20 13:20:13.320;4.0;6;726;36979;Corina S@CorinaSh;Rishon Lezion, Israel;69;;2019-05-21;2018-06-01;5;en;surprising old castle in the water! a must visit! we saw also a very interesting world map sculptured on the stone and  far away the monument of glory, white and clean like the waves of the sea. very nice place in the open space.
MAG010;2021-08-20 13:20:35.586;4.0;6;726;36979;LazaroR_480@LazaroR_480;Hollywood, FL;71;Family;2019-05-09;2018-06-01;5;en;It was really windy, and there was a line to get in. It must of been around 1pm. We decided not to go inside but the size perception pictures we were able to get from the site were worth it alone! A cheap but effective trick. (Look at pic)
MAG010;2021-08-20 13:20:35.617;4.0;6;726;36979;Salvador H@salvadorh449;San Juan, Puerto Rico;404;Friends;2019-05-08;2018-06-01;5;en;A very interesting history about this tower that was part of the defense network for the city. Over the years it was used for many different things as well by different people including Crusaders
MAG010;2021-08-20 13:20:41.274;4.0;6;726;36979;MuimuiToetoe@MuimuiToetoe;Lisbon, Portugal;75;Friends;2019-05-08;2018-06-01;5;en;If you visit Lisbon you can't miss the Belem Tower, the skyline is stunning view and don't miss the delicious cake Pasteis de Belem,an ancient recipe from the Mosteiro dos Jerónimos...Enjoy with a lot of love!
MAG010;2021-08-20 13:22:15.905;4.0;6;726;36979;David R@418DavidR;Montreal, Canada;23;;2019-03-31;2018-06-01;4;en;I have to say that whatever pleasure we took visiting the tower was tempered by the vast number of people flying in and out of it. I suggest you go early or late but try to avoid the peak Visiting Times.
MAG093;2021-08-21 16:15:57.677;4.5;1;101;6805;LAP L@586lapl;;67;Solo;2019-04-07;2018-07-01;5;en;For those who want to visit Porto, it is highly suggested to spend a day to Braga to Bom Jesus do Monte, just simply take a bus from the town centre to the foot hill and take a short hike of 30 mins you can see the spectacular architecture of the steps. On the peak you can enjoy the panorama.There are church and hotel and other amenities on top, cable car is available as well.
MAG047;2021-08-21 13:13:25.680;5.0;1;71;13342;kimlovesjaws@kimlovesjaws;Essex, UK;1055;Family;2019-03-24;2018-07-01;5;en;The home, grounds and gardens were breathtakingCan only imagine how much fun the owners children had here. Every corner had a surprise. Beautiful gardens with a variety of plants. A must visit is the well, discover all the secret passageways and caves until you find the underground grotto, fun stepping stones. Felt like a child again, fun for all ages. Well staffed, a must visit when in Sintra. 
MAG032;2021-08-21 10:30:44.007;4.5;2;71;18392;misshazeyeyed@misshazeyeyed;Sydney, Australia;638;Friends;2019-05-22;2018-07-01;5;en;Pena Palace truly is the fairy tale castle it's depicted to be. Set high up on a mountain, the castle was once the summer palace for the royal family, as it looks all the way to Lisbon on one side, and out to the west coast on the other side. Tourism through the palace is a well-oiled operation. The queue is lengthy, but winds through every room in the palace, through the domestic quarters, to the diplomat's dining rooms. Everything is preserved well by the caretakers and in great condition. My advice would be to explore the grounds. The perimeter of the castle showcases stunning architectural influences and views of Portugal . There's also a little nature walk through to a small summit that gives you nice views of the castle as well. Apparently public transport is few and far between, so unless you want to walk up a mountain I'd recommend jumping on a tour or hiring a car. Visiting this palace is definitely worth the effort though, it captures a slice of Portuguese history in one of the most beautiful areas in the world. 
MAG032;2021-08-21 10:33:01.183;4.5;2;71;18392;Sneha@approvedbyfallon;;55;Family;2019-02-09;2018-07-01;4;en;There was a huge line outside after 11AM , so I suggest to come early ( 9:30 am ) . We took the mini bus to get there and then again another line to get into the castle . The castle’s architecture is beyond beautiful..it’s crowded but you have time to take the perfect click . One thing that was the most disturbing: the WIND 💨.It was really cold !! The interior of the castle was OK but not that much impressive like other castle . The guide was quick . The Cafeteria is good priced but not many seats .We spent 3 hours there and then just in front of the castle door there was buses that goes to Sintra - Cabo da Roca - Cassis ( It was cheap and there was buses every 10 mins ) We took a bus for Cabo da Roca . To get there we took a taxi from Lisbon . (We were a group of 10 ) The price was a little bit higher from most of the attractions we did in Portugal but it was worth it . 
MAG021;2021-08-20 15:49:13.483;4.5;1;355;24454;YDF@yfporto;Porto, Portugal;44;Couples;2019-06-04;2018-07-01;5;en;Walking on this majestic iron structure is definitely one of the best way for sightseeing and enjoying the marvellous and scenic views of both Porto city and Douro River. Cannot miss the chance!
MAG014;2021-08-20 14:31:43.407;4.5;3;726;30707;Sneha@approvedbyfallon;;55;Family;2019-02-09;2018-07-01;5;en;Such a beautiful architecture, a must do in Lisbon. Great spot for photos ! There was a huge huge line outside but because we were a family with kids we got to buy tickets from the expo and just didn’t need to do the line and got into the monastery. 
MAG010;2021-08-20 13:19:00.616;4.0;6;726;36979;Tristan S@tsv01;Aalborg, Denmark;3097;Couples;2019-06-27;2018-07-01;5;en;From the moment we got off our hop on hop off bus we found it dificult to decide where to start. So we sat down at the First watering hole and took out our guide book. Then just walked down the main street and took it as it came. The must see place in Lisbon. 
MAG010;2021-08-20 13:19:06.249;4.0;6;726;36979;Kookoomonster@elaineroams;Adelaide, Australia;352;Friends;2019-06-23;2018-07-01;5;en;I went there on a cold winter night so me and my friend had the whole place to ourselves. It was pretty spectacular! The stonework is awesome. It was definitely a scenic view. Worth coming when you’re in Lisbon.
MAG010;2021-08-20 13:23:49.166;4.0;6;726;36979;Nika@nikaadam;Saint John, Canada;37;Couples;2019-02-22;2018-07-01;3;en;Absolutely love the view but too touristy. Something that should totally been seen. Cool place in general. 
MAG049;2021-08-21 13:22:58.651;4.5;3;355;10859;Luís T@377lu_st;Setubal, Portugal;464;Family;2019-04-06;2018-08-01;5;en;Place where formerly the city did its trade. Nowadays, this is the gateway and departure for those who visit the city of Porto. Very pleasant for a drink or a snack on a terrace near the Douro River. To not lose!
MAG047;2021-08-21 13:10:31.984;5.0;1;71;13342;ceciliamorrison@ceciliamorrison;East Grinstead, UK;1068;Couples;2019-09-23;2018-08-01;4;en;We had to queue to get in but apparently if one books on line then one can skip the queue! There are pathways all around the gardens, up and down and around. There are underground caves and tunnels where one can explore. Lots of steps to climb too if one wants. Like the rest of Sinatra it’s not flat! The house was interesting. I would allow around 2-3 hours to complete one’s visit. There is a cafe. It’s certainly a place to take photos of the castle in Sinatra. 
MAG047;2021-08-21 13:11:17.018;5.0;1;71;13342;Jo M@j0anne20;Perth, Australia;552;Couples;2019-07-31;2018-08-01;5;en;We were with a group and we really didn't have that much time. Its a beautiful place in Sintra, amazing gardens and large stone buildings well worth the visit
MAG047;2021-08-21 13:11:34.804;5.0;1;71;13342;Danna A@52dannaa;Edmonds, WA;8;Couples;2019-07-09;2018-08-01;4;en;Very nice, relaxing walk from central Sintra to this beautiful garden and palace. After spending the previous day climbing to the Moorish Castle and Pena Palace, this was a refreshing break on our second day in Sintra.
MAG047;2021-08-21 13:12:57.073;5.0;1;71;13342;Tom M@tommP3995TM;Los Angeles, CA;26;Solo;2019-04-21;2018-08-01;5;en;This really brought out the little boy in me, exploring this park. It's filled with paths, grottoes, tunnels, and small forts. Wonderful way to spend an afternoon.
MAG047;2021-08-21 13:13:31.135;5.0;1;71;13342;Beee_Travels@Beee_Travels;Toronto, Canada;309;Couples;2019-03-18;2018-08-01;5;en;Quinta da Regaleira is a must-see attraction for sure. It feels like you are exploring the set of a movie, it's so magical. You must make sure to visit the well and you can take some incredible photos from the top of the well looking down and vice versa. We loved exploring here!
MAG047;2021-08-21 13:13:37.390;5.0;1;71;13342;Julia Plieva@juliapM7130TB;Kyiv (Kiev), Ukraine;430;Family;2019-03-04;2018-08-01;5;en;Something incredible is there again (like in amazing Palacio de Penha which is located near). This park totally amazes your mind! It's gorgeous. We've been there several times and each time when we come to Portugal we return to this gorgeous place again and again.I recommend to stay there for the full day. I don't know what else I can say. I am sure everybody must get this experience - to get the feelings which borns this gorgeous place!
MAG047;2021-08-21 13:13:55.389;5.0;1;71;13342;HenryD@HenryDuncan;Rotterdam, The Netherlands;16;Couples;2019-02-03;2018-08-01;5;en;Amazing carvings which you should not miss. Although the sanitary conditions were not satisfying and some of the carvings seem not to be well preserved, the site is really wonderful.
MAG032;2021-08-21 10:29:12.606;4.5;2;71;18392;Robert O@robertoQ2019PE;;2;Couples;2019-07-11;2018-08-01;1;en;Worst tourist attraction of all time !!!!! Do not spend one euro on this scam of a trip. I booked a private 3 hour tour €160. Spent 2 hours in traffic and one hour in a queue. Saw nothing because the queues were so bad. I'm talking hundreds of people not moving an inch in half an hour. The organisers know you wont see anything. Over crowded is an under statement. An absolute money racket. 
MAG032;2021-08-21 10:29:55.097;4.5;2;71;18392;Boutip@Boutip;Gatineau, Canada;615;Family;2019-06-14;2018-08-01;5;en;Definitely worth the trip if you are int he Lisbon area. This huge castle sit on top of the mountain overseeing Lisbon. Get here early to avoid the crowds. The castle is a mix of architecture which makes it unique and worth the visit. The audio guide might be a good idea since there is a lot to learn.
